Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value,Passed Auto GIACT,Failed Auto GIACT,Banking Status,Banking Task Statuses,Go Live Status
ME So Hungry,2023-04-01,0014W00003CNT4VQAX,7417c306-3b60-426b-aba0-6928960a0422,$600,$370.80,,,In progress,IN_PROGRESS,NEW
K's Fish & Chicken,2023-04-01,0014W00003CNTMQQA5,fb96547e-a657-45d4-8250-6d38c209ee59,$0,$0.00,,,Not started,NEW,NEW
Restaurante piquitin,2023-04-01,0014W00003CNT4LQAX,c6d21d37-3015-40d0-a209-94bebc693cc7,$0,$0.00,,,Not started,NEW,NEW
Amphai Northern Thai Food,2023-04-01,0014W000037XxW3QAK,f1135c2b-8c69-4d12-a9db-a3a65cb85518,"$1,728",$598.80,,True,On hold,ON_HOLD,NEW
Head2Hock,2023-04-01,0014W00003CNT62QAH,d8c5d2f5-eba0-4c43-a740-13a23dd72e75,$0,$408.00,True,,Completed,COMPLETED,NEW
the chuckwagon,2023-04-01,0014W00003CNT4uQAH,b5a02901-3cc1-4dbe-99c9-59501d8ea3ab,$0,$0.00,,True,Completed,COMPLETED,NEW
Polish American Citizens Club,2023-04-01,0014W00003CNTB4QAP,65117d0e-8869-44ab-9ca4-6119d7558b47,$0,$741.00,,True,Completed,COMPLETED,NEW
Coop's Fresh Chicken,2023-03-31,0014W00003CNSEUQA5,b1daf388-c809-4da9-8f19-50a8d49d8012,$300,$299.40,,True,Completed,COMPLETED,NEW
Bat City Pies,2023-03-31,0014W00003CNRSGQA5,3521390c-ad86-4f68-833b-9eedc9be5915,$0,$190.80,,True,Completed,COMPLETED,COMPLETED
Sullivan's Bar and Grill of Belleville Inc,2023-03-31,0014W00003CNSuVQAX,2f85b711-a258-42dd-9f2a-246999034b61,$0,$190.80,,True,Completed,COMPLETED,NEW
Mission Filled Drug Company,2023-03-31,0014W00003CNK4mQAH,5b4bce24-2ea8-40ab-8822-9789f091e06a,$0,$119.40,,True,In progress,IN_PROGRESS,NEW
Gigi's Corner,2023-03-31,0014W00003CNS67QAH,e0cfd62d-f4cb-46e2-89ce-f740002e5ee8,$0,$316.20,,,Not started,NEW,NEW
THE BOSS CHEESESTEAK LLC,2023-03-31,0014W00003CNS7AQAX,cf98aca0-213b-4697-8575-13be79a88c88,$300,$419.41,,True,Completed,COMPLETED,NEW
Tropical Bay LLC,2023-03-31,0014W00003CNRzLQAX,ea73cbc3-37c1-4cca-b5c2-0cae2dd0720a,$0,$436.21,,,Not started,NEW,NEW
Menagerie of Munch,2023-03-31,0014W00003CNRBoQAP,0af39ead-c3c2-48dc-8e53-747960df5d58,$0,$0.00,True,,Completed,COMPLETED,NEW
Uncle Tater's Food Truck,2023-03-31,0014W00003CNR4kQAH,5aad0ee2-0721-4d95-9746-b25f2bc7dede,"$1,728",$609.00,,,Not started,NEW,NEW
Clayton Elks Lodge # 2132,2023-03-31,0014W00003CNRBtQAP,85353ab7-dcb5-416b-a6ea-05d1592cf458,$0,$527.00,,,Completed,COMPLETED,NEW
Tandoori Kabab and Pizza,2023-03-31,0014W00003CNRp5QAH,b938ac37-24cc-45b4-870f-be295f8b1f17,$900,$0.00,,,On hold,ON_HOLD,NEW
Ericca Williams,2023-03-31,0014W00003CNRbwQAH,f49ab61e-8506-484c-b309-51d5ab8efd10,$0,$0.00,,,Not started,NEW,NEW
The Vienna Bar,2023-03-31,0014W00003CNR9QQAX,f24dd3f3-6d15-4726-96fa-c66f643f7f0e,$0,$0.00,,True,Completed,COMPLETED,NEW
Here We Dough,2023-03-31,0014W00003CNSpuQAH,2298314c-4f9e-47c9-8248-95171fe92a20,$0,$159.20,,,In progress,IN_PROGRESS,NEW
Astro Fun World,2023-03-31,0014W00003CNT1bQAH,651e7d94-fb4e-4cc2-9cf0-417d58e7fbd5,"$3,960","$3,732.00",True,,Completed,COMPLETED,NEW
Caribbean Flare,2023-03-31,0014W00003CNRKQQA5,ae43fbe9-6a74-4889-8c0d-bfba1cf53f4f,$0,$0.00,,,Not started,NEW,NEW
Peanuts Breakfast and BBQ,2023-03-31,0014W00003CNSEjQAP,9495c88c-b781-4a5b-ab83-6aafbdae58d6,$300,$370.80,,,Completed,COMPLETED,NEW
Elotes y Tacos San Martin LLC,2023-03-31,0014W00003CNS3wQAH,c1210709-5f26-4ae5-9458-41298dd1be2d,$0,$316.20,True,,Completed,COMPLETED,NEW
Just Like Nonna's,2023-03-31,001C000001m4wudIAA,91d169b8-fc59-4546-a951-3ab6e9be0a14,$0,$310.81,,True,Completed,COMPLETED,NEW
Shaved by the Block Event Shaved Ice,2023-03-31,0014W00003CNSC9QAP,14b36fa0-4444-419b-9e3c-617d29ca1817,$0,$191.41,,,Not started,NEW,NEW
Fatso,2023-03-31,0014W00003CNR5JQAX,73c3db91-6652-4bbe-ba79-b4d60c312054,$0,$0.00,,,Not started,NEW,NEW
"Cove Creek Barbecue, LLC",2023-03-31,0014W00003CNR88QAH,44840998-6322-4b39-99af-6421ae82b6e5,$0,$0.00,,,Completed,COMPLETED,NEW
Anointed Drip,2023-03-31,0014W00003CNSf6QAH,7a955e4a-67f9-479e-bab7-36e803fd0d1e,$0,$190.80,,,Not started,NEW,NEW
Nyke's,2023-03-31,0014W00003CNR8wQAH,6738f84a-1a30-407d-87e4-c457a8e66f5f,$900,$0.00,,,In progress,IN_PROGRESS,NEW
Nonno Alby's Mobile Catering,2023-03-31,0014W00003CNS2AQAX,8c0935bd-6033-4aa1-b956-59c53bf22f6c,"$1,200",$0.00,True,,Completed,COMPLETED,NEW
"Skeets, LLC",2023-03-31,0014W00003CNSBzQAP,65eb2c6c-6da2-4241-94ea-70b9e0167627,$0,$190.80,,True,Completed,COMPLETED,NEW
Fountain Barbecue LLC,2023-03-31,0014W00003CNR9BQAX,473e7ab8-8ac7-48be-ad40-ed4b84b4eddb,$0,$199.00,True,,Completed,COMPLETED,COMPLETED
